St1,St_1,St2,St_2,City,Zip,Long,Lat
ALEDO CT ((FORT MYERS-FORT MYERS)),ALEDO CT,PORTICO BLVD ((FORT MYERS-FORT MYERS)),PORTICO BLVD,FORT MYERS,33905,-81.725308757199997,26.697876337000000
ALEE ST E ((LEHIGH ACRES-LEHIGH ACRES)),ALEE ST E,ANACONDA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ANACONDA AVE S,LEHIGH ACRES,33974,-81.611675352299997,26.535401588599999
ALEE ST E ((LEHIGH ACRES-LEHIGH ACRES)),ALEE ST E,BASSINGER AVE S ((LEHIGH ACRES-LEHIGH ACRES)),BASSINGER AVE S,LEHIGH ACRES,33974,-81.608497147199998,26.535424811199999
ALEE ST E ((LEHIGH ACRES-LEHIGH ACRES)),ALEE ST E,NORTON AVE S ((LEHIGH ACRES-LEHIGH ACRES)),NORTON AVE S,LEHIGH ACRES,33974,-81.605505149099997,26.535458813000002
ALEGRIA ST ((FORT MYERS-FORT MYERS)),ALEGRIA ST,BIBIANA WAY ((FORT MYERS-FORT MYERS)),BIBIANA WAY,FORT MYERS,33912,-81.818179161499998,26.569973766000000
ALEGRIA ST ((FORT MYERS-FORT MYERS)),ALEGRIA ST,BIBIANA WAY ((FORT MYERS-FORT MYERS)),BIBIANA WAY,FORT MYERS,33912,-81.818168914799998,26.569053092499999
ALENA CT ((NORTH FORT MYERS-NORTH FORT MYERS)),ALENA CT,NE 24TH AVE ((CAPE CORAL-CAPE CORAL)),NE 24TH AVE,CAPE CORAL,33909,-81.924978230999997,26.701099856599999
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,BENECIA BLVD ((BONITA SPRINGS-BONITA SPRINGS)),BENECIA BLVD,BONITA SPRINGS,34135,-81.711097145099998,26.328218762399999
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,BOCCACCIO WAY ((BONITA SPRINGS-BONITA SPRINGS)),BOCCACCIO WAY,BONITA SPRINGS,34135,-81.708943161199997,26.331340823400001
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,BOCCACCIO WAY ((BONITA SPRINGS-BONITA SPRINGS)),BOCCACCIO WAY,BONITA SPRINGS,34135,-81.710448148099999,26.329539806800000
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,CARDUCCI CT ((BONITA SPRINGS-BONITA SPRINGS)),CARDUCCI CT,BONITA SPRINGS,34135,-81.706705173600000,26.329157825799999
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,DONATELLO CT ((BONITA SPRINGS-BONITA SPRINGS)),DONATELLO CT,BONITA SPRINGS,34135,-81.706667900900001,26.327640535400000
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,ESCALANTE WAY ((BONITA SPRINGS-BONITA SPRINGS)),ESCALANTE WAY,BONITA SPRINGS,34135,-81.706637812599993,26.326747011799998
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,ESCALANTE WAY ((BONITA SPRINGS-BONITA SPRINGS)),ESCALANTE WAY,BONITA SPRINGS,34135,-81.710071385000006,26.325625883000001
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,FERRARA CT ((BONITA SPRINGS-BONITA SPRINGS)),FERRARA CT,BONITA SPRINGS,34135,-81.710178168400006,26.326536791500001
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,GROSSETTO WAY ((BONITA SPRINGS-BONITA SPRINGS)),GROSSETTO WAY,BONITA SPRINGS,34135,-81.707550169100003,26.331366785699998
ALESSANDRIA CIR ((BONITA SPRINGS-BONITA SPRINGS)),ALESSANDRIA CIR,GROSSETTO WAY ((BONITA SPRINGS-BONITA SPRINGS)),GROSSETTO WAY,BONITA SPRINGS,34135,-81.706734168500006,26.330504794500001
ALESSIA VISTA DR ((FORT MYERS-FORT MYERS)),ALESSIA VISTA DR,BELLA MIA WAY ((FORT MYERS-FORT MYERS)),BELLA MIA WAY,FORT MYERS,33907,-81.887254887099999,26.595136993800001
ALESSIA VISTA DR ((FORT MYERS-FORT MYERS)),ALESSIA VISTA DR,NAZZARENO AVE ((FORT MYERS-FORT MYERS)),NAZZARENO AVE,FORT MYERS,33907,-81.887261400300005,26.595674582499999
ALESSIO DR ((FORT MYERS-FORT MYERS)),ALESSIO DR,DR MARTIN LUTHER KING JR BLVD ((FORT MYERS-FORT MYERS)),DR MARTIN LUTHER KING JR BLVD,FORT MYERS,33905,-81.807512040299997,26.636365176300000
ALESSIO DR ((FORT MYERS-FORT MYERS)),ALESSIO DR,ORTIZ AVE ((FORT MYERS-FORT MYERS)),ORTIZ AVE,FORT MYERS,33905,-81.811454840799996,26.627252644900000
ALESSIO DR ((FORT MYERS-FORT MYERS)),ALESSIO DR,WILLOWGATE LOOP ((FORT MYERS-FORT MYERS)),WILLOWGATE LOOP,FORT MYERS,33905,-81.808591897400007,26.627275813299999
ALESSIO DR ((FORT MYERS-FORT MYERS)),ALESSIO DR,WILLOWGATE LOOP ((FORT MYERS-FORT MYERS)),WILLOWGATE LOOP,FORT MYERS,33905,-81.810230807300002,26.627220502200000
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,ALLISON ST E ((LEHIGH ACRES-LEHIGH ACRES)),ALLISON ST E,LEHIGH ACRES,33974,-81.628026158899999,26.544666819800000
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,AMES ST E ((LEHIGH ACRES-LEHIGH ACRES)),AMES ST E,LEHIGH ACRES,33974,-81.627988299899997,26.541418299000000
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,CRANE ST E ((LEHIGH ACRES-LEHIGH ACRES)),CRANE ST E,LEHIGH ACRES,33974,-81.627999347200003,26.543127302500000
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,JAGUAR BLVD ((LEHIGH ACRES-LEHIGH ACRES)),JAGUAR BLVD,LEHIGH ACRES,33974,-81.628043335900003,26.547527513700000
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,KELLER ST E ((LEHIGH ACRES-LEHIGH ACRES)),KELLER ST E,LEHIGH ACRES,33974,-81.628026705699995,26.545750371299999
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,KIMBERLY ST E ((LEHIGH ACRES-LEHIGH ACRES)),KIMBERLY ST E,LEHIGH ACRES,33974,-81.628115080200004,26.552932366499999
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,MEADOW RD ((LEHIGH ACRES-LEHIGH ACRES)),MEADOW RD,LEHIGH ACRES,33974,-81.627787129900000,26.535601862899998
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,MILLCREEK ST ((LEHIGH ACRES-LEHIGH ACRES)),MILLCREEK ST,LEHIGH ACRES,33974,-81.627828151000003,26.540306874100001
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,RAINTREE ST E ((LEHIGH ACRES-LEHIGH ACRES)),RAINTREE ST E,LEHIGH ACRES,33974,-81.628071138400003,26.550405814099999
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,ROGUE ST ((LEHIGH ACRES-LEHIGH ACRES)),ROGUE ST,LEHIGH ACRES,33974,-81.627779139799998,26.536897882600002
ALETHA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALETHA AVE S,TRINITY ST E ((LEHIGH ACRES-LEHIGH ACRES)),TRINITY ST E,LEHIGH ACRES,33974,-81.628051149800001,26.549339826699999
ALEXANDER MCLELLAN ST E ((LEHIGH ACRES-LEHIGH ACRES)),ALEXANDER MCLELLAN ST E,CABLE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),CABLE AVE S,LEHIGH ACRES,33974,-81.598975124500001,26.567526869300000
ALEXANDER MCLELLAN ST E ((LEHIGH ACRES-LEHIGH ACRES)),ALEXANDER MCLELLAN ST E,HAWTHORNE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),HAWTHORNE AVE S,LEHIGH ACRES,33974,-81.596586141200007,26.567530865100000
ALEXANDER ST E ((LEHIGH ACRES-LEHIGH ACRES)),ALEXANDER ST E,AURORA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),AURORA AVE S,LEHIGH ACRES,33974,-81.596270145199995,26.595902870700002
ALEXANDER ST E ((LEHIGH ACRES-LEHIGH ACRES)),ALEXANDER ST E,BRENDA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),BRENDA AVE S,LEHIGH ACRES,33974,-81.594008131500004,26.595899867300002
ALEXIA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALEXIA AVE S,AMHERST ST E ((LEHIGH ACRES-LEHIGH ACRES)),AMHERST ST E,LEHIGH ACRES,33974,-81.573725119499997,26.568533832200000
ALEXIA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALEXIA AVE S,AUGUSTA ST E ((LEHIGH ACRES-LEHIGH ACRES)),AUGUSTA ST E,LEHIGH ACRES,33974,-81.573764144799995,26.570673837200001
ALEXIA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALEXIA AVE S,ESSEX ST E ((LEHIGH ACRES-LEHIGH ACRES)),ESSEX ST E,LEHIGH ACRES,33974,-81.573712115099994,26.567483843600002
ALEXIA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALEXIA AVE S,PINEDA ST E ((LEHIGH ACRES-LEHIGH ACRES)),PINEDA ST E,LEHIGH ACRES,33974,-81.573701112999998,26.566675879999998
ALEXIA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALEXIA AVE S,WELLAND ST E ((LEHIGH ACRES-LEHIGH ACRES)),WELLAND ST E,LEHIGH ACRES,33974,-81.573691101799994,26.565845893300001
ALFRED MOORE CT ((BONITA SPRINGS-BONITA SPRINGS)),ALFRED MOORE CT,FOX RIDGE DR ((BONITA SPRINGS-BONITA SPRINGS)),FOX RIDGE DR,BONITA SPRINGS,34135,-81.745026415300003,26.327720652600000
ALFREDA AVE ((LEHIGH ACRES-LEHIGH ACRES)),ALFREDA AVE,BARTH ST ((LEHIGH ACRES-LEHIGH ACRES)),BARTH ST,OBOR,OBOR,-81.748303247099997,26.624573951599999
ALFREDA AVE ((LEHIGH ACRES-LEHIGH ACRES)),ALFREDA AVE,BEAUTY ST ((LEHIGH ACRES-LEHIGH ACRES)),BEAUTY ST,LEHIGH ACRES,33971,-81.748350043399995,26.627370429999999
ALFREDA AVE ((LEHIGH ACRES-LEHIGH ACRES)),ALFREDA AVE,BURR ST ((LEHIGH ACRES-LEHIGH ACRES)),BURR ST,LEHIGH ACRES,33971,-81.748543119299995,26.632109868600001
ALFREDA AVE ((LEHIGH ACRES-LEHIGH ACRES)),ALFREDA AVE,BUTTE ST ((LEHIGH ACRES-LEHIGH ACRES)),BUTTE ST,LEHIGH ACRES,33971,-81.748454495700003,26.628531820799999
ALGIERS LN ((SANIBEL-SANIBEL)),ALGIERS LN,CAMINO DEL MAR DR ((SANIBEL-SANIBEL)),CAMINO DEL MAR DR,SANIBEL,33957,-82.067896280900001,26.428069793799999
ALGIERS LN ((SANIBEL-SANIBEL)),ALGIERS LN,SOUTHWINDS DR ((SANIBEL-SANIBEL)),SOUTHWINDS DR,SANIBEL,33957,-82.068304233199996,26.428086842300001
ALGIERS ST ((FORT MYERS-FORT MYERS)),ALGIERS ST,INDIANA AVE ((FORT MYERS-FORT MYERS)),INDIANA AVE,FORT MYERS,33919,-81.902784501499994,26.562660065799999
ALGIERS ST ((FORT MYERS-FORT MYERS)),ALGIERS ST,SUNSET VISTA DR ((FORT MYERS-FORT MYERS)),SUNSET VISTA DR,FORT MYERS,33919,-81.902750197700001,26.563959811200000
ALHAMBRA DR ((FORT MYERS-FORT MYERS)),ALHAMBRA DR,CORTEZ BLVD ((FORT MYERS-FORT MYERS)),CORTEZ BLVD,OBOR,OBOR,-81.880263913299999,26.621977055999999
ALHAMBRA DR ((FORT MYERS-FORT MYERS)),ALHAMBRA DR,MCGREGOR BLVD ((FORT MYERS-FORT MYERS)),MCGREGOR BLVD,FORT MYERS,33901,-81.884230634399998,26.621910351800000
ALHAMBRA LN ((BONITA SPRINGS-BONITA SPRINGS)),ALHAMBRA LN,DEL LAGO WAY ((BONITA SPRINGS-BONITA SPRINGS)),DEL LAGO WAY,BONITA SPRINGS,34135,-81.802171857999994,26.316980612100000
ALHAMBRA LN ((BONITA SPRINGS-BONITA SPRINGS)),ALHAMBRA LN,MEGAN DR ((BONITA SPRINGS-BONITA SPRINGS)),MEGAN DR,BONITA SPRINGS,34135,-81.793251121799997,26.316914526500000
ALHAMBRA LN ((BONITA SPRINGS-BONITA SPRINGS)),ALHAMBRA LN,SAN AMARO DR ((BONITA SPRINGS-BONITA SPRINGS)),SAN AMARO DR,BONITA SPRINGS,34135,-81.791758825499997,26.316536594900001
ALHAMBRA LN ((BONITA SPRINGS-BONITA SPRINGS)),ALHAMBRA LN,SOMBRERO DR ((BONITA SPRINGS-BONITA SPRINGS)),SOMBRERO DR,BONITA SPRINGS,34135,-81.800850921099993,26.316884776100000
ALICANTE DR ((BONITA SPRINGS-BONITA SPRINGS)),ALICANTE DR,GREENVIEW DR ((BONITA SPRINGS-BONITA SPRINGS)),GREENVIEW DR,BONITA SPRINGS,34134,-81.808919291799995,26.367923453800000
ALICANTE DR ((BONITA SPRINGS-BONITA SPRINGS)),ALICANTE DR,MARBELLA CT ((BONITA SPRINGS-BONITA SPRINGS)),MARBELLA CT,ESTERO,33928,-81.809954136800002,26.368827804599999
ALICE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALICE AVE S,ALICE CT ((LEHIGH ACRES-LEHIGH ACRES)),ALICE CT,LEHIGH ACRES,33974,-81.594140130200003,26.592897817600001
ALICE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALICE AVE S,ANDERSON ST E ((LEHIGH ACRES-LEHIGH ACRES)),ANDERSON ST E,LEHIGH ACRES,33974,-81.594151136999997,26.594026872499999
ALICE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ALICE AVE S,SUNRISE BLVD ((LEHIGH ACRES-LEHIGH ACRES)),SUNRISE BLVD,LEHIGH ACRES,33974,-81.594134088999994,26.591956900900001
ALICE PL ((LEHIGH ACRES-LEHIGH ACRES)),ALICE PL,SUNSHINE BLVD N ((LEHIGH ACRES-LEHIGH ACRES)),SUNSHINE BLVD N,LEHIGH ACRES,33971,-81.663335040700005,26.647197385999998
ALICIA ST ((FORT MYERS-FORT MYERS)),ALICIA ST,FOWLER ST ((FORT MYERS-FORT MYERS)),FOWLER ST,FORT MYERS,33901,-81.862340026200002,26.639387002599999
ALICIA ST ((FORT MYERS-FORT MYERS)),ALICIA ST,LAFAYETTE ST ((FORT MYERS-FORT MYERS)),LAFAYETTE ST,FORT MYERS,33901,-81.861164154099995,26.634653938100001
ALICIA ST ((FORT MYERS-FORT MYERS)),ALICIA ST,MARKET ST ((FORT MYERS-FORT MYERS)),MARKET ST,FORT MYERS,33901,-81.861189171099994,26.636783896400001
ALICO CENTER RD ((FORT MYERS-FORT MYERS)),ALICO CENTER RD,ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,FORT MYERS,33912,-81.831067608300003,26.492628189900000
ALICO COMMERCE CT ((FORT MYERS-FORT MYERS)),ALICO COMMERCE CT,ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,FORT MYERS,33967,-81.822974791500002,26.492644520599999
ALICO COMMERCE CT ((FORT MYERS-FORT MYERS)),ALICO COMMERCE CT,CAM CT ((FORT MYERS-FORT MYERS)),CAM CT,FORT MYERS,33967,-81.824828206899994,26.491266357699999
ALICO CROSSING RD ((FORT MYERS-FORT MYERS)),ALICO CROSSING RD,VINTAGE COMMERCE BLVD ((FORT MYERS-FORT MYERS)),VINTAGE COMMERCE BLVD,FORT MYERS,33912,-81.799888737399996,26.498352191100000
ALICO MISSION WAY ((FORT MYERS-FORT MYERS)),ALICO MISSION WAY,AMERICA OUTDOORS BLVD ((FORT MYERS-FORT MYERS)),AMERICA OUTDOORS BLVD,FORT MYERS,33908,-81.849963888000005,26.494617769100000
ALICO MISSION WAY ((FORT MYERS-FORT MYERS)),ALICO MISSION WAY,RAFAEL WAY ((FORT MYERS-FORT MYERS)),RAFAEL WAY,FORT MYERS,33908,-81.848149523299995,26.492979470300000
ALICO MISSION WAY ((FORT MYERS-FORT MYERS)),ALICO MISSION WAY,S TAMIAMI TRL ((FORT MYERS-FORT MYERS)),S TAMIAMI TRL,FORT MYERS,33908,-81.847045832299997,26.491605875699999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,BEAR HOLLOW CIR ((FORT MYERS-FORT MYERS)),BEAR HOLLOW CIR,FORT MYERS,33912,-81.814805473199996,26.492722149399999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,BEN HILL GRIFFIN PKWY ((FORT MYERS-FORT MYERS)),BEN HILL GRIFFIN PKWY,FORT MYERS, ,-81.783612690499993,26.492916459600000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,CAPRI DR ((FORT MYERS-FORT MYERS)),CAPRI DR,FORT MYERS,33967,-81.816342195600001,26.492698264100000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,CENTERPLACE BLVD ((FORT MYERS-FORT MYERS)),CENTERPLACE BLVD,FORT MYERS,33913,-81.760277714799997,26.492993641100000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,CORKSCREW RD ((ESTERO-ESTERO)),CORKSCREW RD,FORT MYERS,33913,-81.703799129499998,26.453100787200000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,DEVORE LN ((FORT MYERS-FORT MYERS)),DEVORE LN,FORT MYERS,33913,-81.721185159699999,26.493522851700000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,DOMESTIC AVE ((FORT MYERS-FORT MYERS)),DOMESTIC AVE,FORT MYERS,33912,-81.818735371599999,26.492813697799999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,ESPLANADE LAKE CLUB BLVD ((FORT MYERS-FORT MYERS)),ESPLANADE LAKE CLUB BLVD,FORT MYERS,33913,-81.768228251899998,26.492815147700000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,FUSINA PL ((FORT MYERS-FORT MYERS)),FUSINA PL,FORT MYERS,33913,-81.771824464399998,26.492766251500001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,GRANADA LAKES DR ((FORT MYERS-FORT MYERS)),GRANADA LAKES DR,FORT MYERS,33912,-81.842069495499999,26.493819968899999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,GREEN MEADOW RD ((FORT MYERS-FORT MYERS)),GREEN MEADOW RD,FORT MYERS,33913,-81.719480794399999,26.493421785799999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,HAITIAN DR ((FORT MYERS-FORT MYERS)),HAITIAN DR,FORT MYERS,33967,-81.818727656600004,26.492667368900001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,I-75 N ((FORT MYERS-FORT MYERS)),I-75 N,FORT MYERS,33913,-81.794267991799998,26.493113616500001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,I-75 N ((FORT MYERS-FORT MYERS)),I-75 N,FORT MYERS,33913,-81.794265346299994,26.492925555199999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,I-75 S ((FORT MYERS-FORT MYERS)),I-75 S,FORT MYERS,33913,-81.794573740800004,26.493110898600001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,I-75 S ((FORT MYERS-FORT MYERS)),I-75 S,FORT MYERS,33913,-81.794573786499996,26.492922660600001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,INDUSTRIAL DR ((FORT MYERS-FORT MYERS)),INDUSTRIAL DR,FORT MYERS,33912,-81.845672559299999,26.495979057200000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,INDUSTRIAL DR ((FORT MYERS-FORT MYERS)),INDUSTRIAL DR,FORT MYERS,33912,-81.845574686999996,26.495921091900001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,INDY DR ((FORT MYERS-FORT MYERS)),INDY DR,FORT MYERS,33912,-81.838125718900002,26.492655356899999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,INNOVATION LN ((FORT MYERS-FORT MYERS)),INNOVATION LN,FORT MYERS,33913,-81.752280931800001,26.493202188200002
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,JEAN ST ((FORT MYERS-FORT MYERS)),JEAN ST,FORT MYERS,33912,-81.829038014899993,26.492612232399999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,LEE RD ((FORT MYERS-FORT MYERS)),LEE RD,FORT MYERS, ,-81.813207112900002,26.492835862000000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,MICHAEL G RIPPE PKWY ((FORT MYERS-FORT MYERS)),MICHAEL G RIPPE PKWY,FORT MYERS, ,-81.843405479300003,26.494754167899998
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,MICHAEL G RIPPE PKWY ((FORT MYERS-FORT MYERS)),MICHAEL G RIPPE PKWY,FORT MYERS, ,-81.843257444399995,26.494668666799999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,MICHAEL G RIPPE PKWY ((FORT MYERS-FORT MYERS)),MICHAEL G RIPPE PKWY,FORT MYERS, ,-81.843429362199998,26.494603406100001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,MICHAEL G RIPPE PKWY ((FORT MYERS-FORT MYERS)),MICHAEL G RIPPE PKWY,FORT MYERS, ,-81.843281376999997,26.494517658700001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,N MALLARD LN ((FORT MYERS-FORT MYERS)),N MALLARD LN,FORT MYERS,33913,-81.717585747499996,26.490431924300001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,OLD AIRPORT HAUL RD ((FORT MYERS-FORT MYERS)),OLD AIRPORT HAUL RD,FORT MYERS,33913,-81.754544420700000,26.493168481200001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,OLD US 41 ((FORT MYERS-FORT MYERS)),OLD US 41,FORT MYERS,33912,-81.846819682399996,26.496521017300001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,ORIOLE RD ((FORT MYERS-FORT MYERS)),ORIOLE RD,FORT MYERS,33912,-81.806235268799995,26.492832538100000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,PENNSYLVANIA ST ((FORT MYERS-FORT MYERS)),PENNSYLVANIA ST,FORT MYERS,33912,-81.831957546200002,26.492775502600001
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,PHLOX DR ((FORT MYERS-FORT MYERS)),PHLOX DR,FORT MYERS,33967,-81.821391294899996,26.492654991399998
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,QUAKER LN ((FORT MYERS-FORT MYERS)),QUAKER LN,FORT MYERS, ,-81.833184133800003,26.492746507000000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,ROYAL QUEEN BLVD ((FORT MYERS-FORT MYERS)),ROYAL QUEEN BLVD,FORT MYERS,33913,-81.786937530900005,26.492847871199999
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,ROYAL QUEEN BLVD ((FORT MYERS-FORT MYERS)),ROYAL QUEEN BLVD,FORT MYERS,33913,-81.787766624900001,26.492848255999998
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,S MALLARD LN ((FORT MYERS-FORT MYERS)),S MALLARD LN,FORT MYERS,33913,-81.714253087100005,26.483067424500000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,THREE OAKS PKWY ((FORT MYERS-FORT MYERS)),THREE OAKS PKWY,FORT MYERS,33912,-81.800970296399996,26.492837235600000
ALICO RD ((FORT MYERS-FORT MYERS)),ALICO RD,WILDBLUE BLVD ((FORT MYERS-FORT MYERS)),WILDBLUE BLVD,FORT MYERS,33913,-81.738394779900005,26.493286506800001
ALICO TRADE CENTER RD ((FORT MYERS-FORT MYERS)),ALICO TRADE CENTER RD,GRIB RD ((FORT MYERS-FORT MYERS)),GRIB RD,FORT MYERS,33912,-81.803387091800005,26.508998205299999
ALIDO AVE ((LEHIGH ACRES-LEHIGH ACRES)),ALIDO AVE,BARTH ST ((LEHIGH ACRES-LEHIGH ACRES)),BARTH ST,LEHIGH ACRES,33971,-81.736088477600006,26.624930652800000
ALIDO AVE ((LEHIGH ACRES-LEHIGH ACRES)),ALIDO AVE,BRISTO ST ((LEHIGH ACRES-LEHIGH ACRES)),BRISTO ST,LEHIGH ACRES,33971,-81.736243111700006,26.631239847200000
ALIDO AVE ((LEHIGH ACRES-LEHIGH ACRES)),ALIDO AVE,BROOKFIELD ST ((LEHIGH ACRES-LEHIGH ACRES)),BROOKFIELD ST,LEHIGH ACRES,33971,-81.736060380400005,26.622763032200002
ALIDO AVE ((LEHIGH ACRES-LEHIGH ACRES)),ALIDO AVE,BUTTE ST ((LEHIGH ACRES-LEHIGH ACRES)),BUTTE ST,LEHIGH ACRES,33971,-81.736189189800001,26.628638837499999
ALINE ST ((FORT MYERS-FORT MYERS)),ALINE ST,DELEON ST ((FORT MYERS-FORT MYERS)),DELEON ST,FORT MYERS,33901,-81.876900183199993,26.598422864600000
ALINE ST ((FORT MYERS-FORT MYERS)),ALINE ST,MEADE AVE ((FORT MYERS-FORT MYERS)),MEADE AVE,FORT MYERS,33901,-81.876083172400001,26.598352824199999
ALISTER WAY ((FORT MYERS-FORT MYERS)),ALISTER WAY,BEN C PRATT SIX MILE CYPRESS PKWY ((FORT MYERS-FORT MYERS)),BEN C PRATT SIX MILE CYPRESS PKWY,FORT MYERS,33912,-81.839456158199994,26.542563133700000
ALISTER WAY ((FORT MYERS-FORT MYERS)),ALISTER WAY,OLYMPIC CT ((FORT MYERS-FORT MYERS)),OLYMPIC CT,FORT MYERS,33912,-81.840077771500006,26.542542705100001
ALIWANNA LN ((FORT MYERS-FORT MYERS)),ALIWANNA LN,STALEY RD ((FORT MYERS-FORT MYERS)),STALEY RD,FORT MYERS,33905,-81.775881183600006,26.661485842400001
ALLAIRE LN ((FORT MYERS-FORT MYERS)),ALLAIRE LN,BEAULIEU CT ((FORT MYERS-FORT MYERS)),BEAULIEU CT,FORT MYERS,33908,-81.831233312400002,26.449465771400000
ALLAIRE LN ((FORT MYERS-FORT MYERS)),ALLAIRE LN,PINE RD ((FORT MYERS-FORT MYERS)),PINE RD,FORT MYERS,33908,-81.831297724699994,26.452655525800001
ALLAMANDA CT ((LEHIGH ACRES-LEHIGH ACRES)),ALLAMANDA CT,FOUNTAIN MIST BLVD ((LEHIGH ACRES-LEHIGH ACRES)),FOUNTAIN MIST BLVD,LEHIGH ACRES,33972,-81.655462090900002,26.625281876500001
ALLAN AVE ((FORT MYERS-FORT MYERS)),ALLAN AVE,CYPRESS LN ((FORT MYERS-FORT MYERS)),CYPRESS LN,FORT MYERS,33905,-81.825157161299998,26.677428903700001
ALLAN AVE ((FORT MYERS-FORT MYERS)),ALLAN AVE,PALM PL ((FORT MYERS-FORT MYERS)),PALM PL,FORT MYERS,33905,-81.825048196899999,26.676060886500000
